transaction_id,store_id,product_id,customer_id,date,quantity,revenue,category,price,discount,region,manager,footfall,key_1,week,TV,Online,Print
T00056,S005,P0007,C00008,2023-06-15,1,319.48,Home,336.3,0.05,East,Manager_5,3624,2023-06-12,2023-06-18,8148,4213,2864
T00057,S012,P0005,C00200,2023-11-06,1,151.44,Books,191.7,0.21,South,Manager_12,4965,2023-11-06,2023-11-12,4398,6529,4450
T00058,S003,P0045,C00087,2023-04-10,2,232.21,Clothing,143.34,0.19,East,Manager_3,2991,2023-04-10,2023-04-16,5769,6247,2861
T00059,S001,P0058,C00043,2023-04-19,2,470.56,Clothing,283.47,0.17,South,Manager_1,2215,2023-04-17,2023-04-23,1464,5471,2327
T00060,S001,P0031,C00109,2023-12-09,2,552.26,Home,303.44,0.09,South,Manager_1,2215,2023-12-04,2023-12-10,6300,7761,1631
T00061,S008,P0023,C00152,2023-06-22,4,699.64,Toys,242.93,0.28,South,Manager_8,1376,2023-06-19,2023-06-25,8478,1284,1687
T00062,S010,P0042,C00017,2023-08-25,2,127.07,Electronics,69.82,0.09,East,Manager_10,4642,2023-08-21,2023-08-27,7394,3338,825
T00063,S011,P0010,C00133,2023-06-11,1,262.21,Books,285.01,0.08,East,Manager_11,4864,2023-06-05,2023-06-11,3014,4789,2943
T00064,S012,P0032,C00148,2023-08-04,1,297.87,Toys,350.44,0.15,South,Manager_12,4965,2023-07-31,2023-08-06,8910,7034,3906
T00065,S013,P0053,C00277,2023-09-21,3,848.77,Toys,349.29,0.19,East,Manager_13,1135,2023-09-18,2023-09-24,2367,5042,3075
T00066,S012,P0030,C00232,2023-09-20,2,859.04,Toys,472.0,0.09,South,Manager_12,4965,2023-09-18,2023-09-24,6308,3462,2130
T00067,S014,P0039,C00228,2023-10-19,4,762.16,Electronics,214.09,0.11,North,Manager_14,2193,2023-10-16,2023-10-22,1725,3501,3862
T00068,S002,P0031,C00139,2023-10-01,4,1104.52,Home,303.44,0.09,West,Manager_2,4354,2023-09-25,2023-10-01,7411,7365,1192
T00069,S019,P0082,C00211,2023-01-03,4,769.44,Electronics,240.45,0.2,South,Manager_19,1869,2023-01-02,2023-01-08,9307,3095,2301
T00070,S018,P0100,C00028,2023-01-28,3,1110.07,Electronics,420.48,0.12,North,Manager_18,4175,2023-01-23,2023-01-29,6904,5624,2537
T00071,S003,P0002,C00051,2023-11-22,1,332.69,Books,426.52,0.22,East,Manager_3,2991,2023-11-20,2023-11-26,9844,7028,4012
T00072,S017,P0078,C00261,2023-05-29,4,148.86,Toys,49.62,0.25,South,Manager_17,1330,2023-05-29,2023-06-04,4982,5323,4513
T00073,S008,P0077,C00261,2023-01-28,1,264.37,Electronics,300.42,0.12,South,Manager_8,1376,2023-01-23,2023-01-29,4792,6567,3441
T00074,S010,P0093,C00008,2023-11-06,3,989.35,Home,358.46,0.08,East,Manager_10,4642,2023-11-06,2023-11-12,4144,6798,742
T00075,S002,P0012,C00138,2023-03-06,2,690.32,Home,486.14,0.29,West,Manager_2,4354,2023-03-06,2023-03-12,2652,6540,4641
T00076,S019,P0039,C00038,2023-12-22,2,381.08,Electronics,214.09,0.11,South,Manager_19,1869,2023-12-18,2023-12-24,8498,7636,511
T00077,S009,P0066,C00111,2023-01-21,2,708.42,Toys,498.89,0.29,West,Manager_9,1491,2023-01-16,2023-01-22,3949,1941,2407
T00078,S007,P0096,C00220,2023-09-09,4,228.52,Home,57.13,0.0,South,Manager_7,504,2023-09-04,2023-09-10,6929,7792,2682
T00079,S004,P0013,C00223,2023-08-23,2,707.11,Books,425.97,0.17,East,Manager_4,3160,2023-08-21,2023-08-27,7394,3338,825
T00080,S018,P0046,C00136,2023-08-15,4,1204.72,Electronics,327.37,0.08,North,Manager_18,4175,2023-08-14,2023-08-20,9644,3397,2475
T00081,S013,P0027,C00256,2023-01-13,3,817.45,Home,306.16,0.11,East,Manager_13,1135,2023-01-09,2023-01-15,1297,5903,1344
T00082,S011,P0017,C00049,2023-11-09,3,70.65,Toys,29.81,0.21,East,Manager_11,4864,2023-11-06,2023-11-12,4144,6798,742
T00083,S004,P0095,C00292,2023-02-18,4,708.93,Electronics,180.85,0.02,East,Manager_4,3160,2023-02-13,2023-02-19,6593,4672,2381
T00084,S004,P0098,C00078,2023-04-28,1,192.52,Clothing,204.81,0.06,East,Manager_4,3160,2023-04-24,2023-04-30,8189,7349,3186
T00085,S010,P0060,C00105,2023-02-23,2,82.76,Clothing,41.8,0.01,East,Manager_10,4642,2023-02-20,2023-02-26,9713,2887,3052
T00086,S005,P0064,C00169,2023-05-18,2,524.15,Clothing,359.01,0.27,East,Manager_5,3624,2023-05-15,2023-05-21,1662,1479,4718
T00087,S009,P0088,C00217,2023-02-22,2,497.32,Electronics,259.02,0.04,West,Manager_9,1491,2023-02-20,2023-02-26,5362,7502,3888
T00088,S003,P0035,C00119,2023-02-13,4,588.47,Home,154.86,0.05,East,Manager_3,2991,2023-02-13,2023-02-19,6593,4672,2381
T00089,S017,P0070,C00190,2023-10-30,3,55.78,Toys,26.19,0.29,South,Manager_17,1330,2023-10-30,2023-11-05,6002,1886,840
T00090,S003,P0083,C00255,2023-02-22,2,875.55,Books,491.88,0.11,East,Manager_3,2991,2023-02-20,2023-02-26,9713,2887,3052
T00091,S016,P0030,C00266,2023-03-15,3,1288.56,Toys,472.0,0.09,East,Manager_16,619,2023-03-13,2023-03-19,2409,2694,1026
T00092,S004,P0071,C00149,2023-02-15,2,351.0,Electronics,179.08,0.02,East,Manager_4,3160,2023-02-13,2023-02-19,6593,4672,2381
T00093,S018,P0074,C00164,2023-01-13,2,497.09,Clothing,270.16,0.08,North,Manager_18,4175,2023-01-09,2023-01-15,5117,1677,3158
T00094,S017,P0096,C00140,2023-06-14,4,228.52,Home,57.13,0.0,South,Manager_17,1330,2023-06-12,2023-06-18,5159,7308,2574
T00095,S007,P0098,C00258,2023-04-12,1,192.52,Clothing,204.81,0.06,South,Manager_7,504,2023-04-10,2023-04-16,1016,6182,4848
T00096,S005,P0063,C00269,2023-10-07,4,1292.38,Books,351.19,0.08,East,Manager_5,3624,2023-10-02,2023-10-08,2986,3240,4466
T00097,S012,P0028,C00181,2023-09-15,2,395.31,Clothing,274.52,0.28,South,Manager_12,4965,2023-09-11,2023-09-17,5675,2170,989
T00098,S017,P0060,C00160,2023-12-03,2,82.76,Clothing,41.8,0.01,South,Manager_17,1330,2023-11-27,2023-12-03,8135,1320,4559
T00099,S013,P0079,C00288,2023-12-22,1,137.61,Toys,191.13,0.28,East,Manager_13,1135,2023-12-18,2023-12-24,4823,7770,1549
T00100,S003,P0094,C00288,2023-05-18,3,1000.38,Home,406.66,0.18,East,Manager_3,2991,2023-05-15,2023-05-21,1662,1479,4718
T00101,S009,P0037,C00226,2023-06-12,3,595.93,Home,233.7,0.15,West,Manager_9,1491,2023-06-12,2023-06-18,7360,4590,2372
T00102,S017,P0093,C00011,2023-04-21,2,659.57,Home,358.46,0.08,South,Manager_17,1330,2023-04-17,2023-04-23,1464,5471,2327
T00103,S017,P0022,C00010,2023-04-12,3,996.6,Books,448.92,0.26,South,Manager_17,1330,2023-04-10,2023-04-16,1016,6182,4848
T00104,S020,P0068,C00271,2023-01-17,2,810.98,Clothing,488.54,0.17,South,Manager_20,1240,2023-01-16,2023-01-22,7548,5780,3450
T00105,S016,P0020,C00273,2023-09-25,1,198.24,Toys,225.27,0.12,East,Manager_16,619,2023-09-25,2023-10-01,7754,4603,2081
T00106,S013,P0096,C00183,2023-07-01,1,57.13,Home,57.13,0.0,East,Manager_13,1135,2023-06-26,2023-07-02,9872,6429,1109
T00107,S019,P0100,C00153,2023-01-24,2,740.04,Electronics,420.48,0.12,South,Manager_19,1869,2023-01-23,2023-01-29,4792,6567,3441
T00108,S017,P0068,C00124,2023-01-29,1,405.49,Clothing,488.54,0.17,South,Manager_17,1330,2023-01-23,2023-01-29,4792,6567,3441
T00109,S004,P0091,C00114,2023-06-20,4,617.78,Home,169.72,0.09,East,Manager_4,3160,2023-06-19,2023-06-25,4629,6919,3972
T00110,S012,P0064,C00278,2023-08-16,4,1048.31,Clothing,359.01,0.27,South,Manager_12,4965,2023-08-14,2023-08-20,9579,4121,2373
T00111,S009,P0017,C00213,2023-07-07,1,23.55,Toys,29.81,0.21,West,Manager_9,1491,2023-07-03,2023-07-09,7106,5915,1172
T00112,S019,P0012,C00172,2023-12-12,2,690.32,Home,486.14,0.29,South,Manager_19,1869,2023-12-11,2023-12-17,7553,5042,3867
T00113,S012,P0022,C00288,2023-08-18,2,664.4,Books,448.92,0.26,South,Manager_12,4965,2023-08-14,2023-08-20,9579,4121,2373
T00114,S009,P0017,C00174,2023-11-17,1,23.55,Toys,29.81,0.21,West,Manager_9,1491,2023-11-13,2023-11-19,9346,4494,1404
T00115,S007,P0010,C00113,2023-12-06,3,786.63,Books,285.01,0.08,South,Manager_7,504,2023-12-04,2023-12-10,6300,7761,1631
T00116,S014,P0065,C00122,2023-04-29,4,257.59,Clothing,82.56,0.22,North,Manager_14,2193,2023-04-24,2023-04-30,9095,7265,2591
T00117,S020,P0022,C00032,2023-06-05,3,996.6,Books,448.92,0.26,South,Manager_20,1240,2023-06-05,2023-06-11,6555,5556,3592
T00118,S019,P0090,C00222,2023-09-29,2,714.8,Home,430.6,0.17,South,Manager_19,1869,2023-09-25,2023-10-01,1287,6953,4782
T00119,S015,P0082,C00119,2023-06-24,2,384.72,Electronics,240.45,0.2,South,Manager_15,2182,2023-06-19,2023-06-25,8478,1284,1687
T00120,S016,P0050,C00039,2023-04-14,3,198.59,Toys,90.68,0.27,East,Manager_16,619,2023-04-10,2023-04-16,5769,6247,2861
T00121,S005,P0014,C00268,2023-04-02,1,269.1,Clothing,363.65,0.26,East,Manager_5,3624,2023-03-27,2023-04-02,4977,3669,3393
T00122,S003,P0064,C00233,2023-07-05,3,786.23,Clothing,359.01,0.27,East,Manager_3,2991,2023-07-03,2023-07-09,8940,3156,4366
T00123,S012,P0047,C00018,2023-10-10,3,25.22,Clothing,10.25,0.18,South,Manager_12,4965,2023-10-09,2023-10-15,7337,3363,643
T00124,S020,P0029,C00149,2023-06-30,4,310.98,Toys,109.5,0.29,South,Manager_20,1240,2023-06-26,2023-07-02,4969,3965,4819
T00125,S004,P0076,C00149,2023-06-19,4,1000.08,Clothing,280.92,0.11,East,Manager_4,3160,2023-06-19,2023-06-25,4629,6919,3972
T00126,S016,P0036,C00126,2023-07-06,3,183.22,Books,61.69,0.01,East,Manager_16,619,2023-07-03,2023-07-09,8940,3156,4366
T00127,S007,P0099,C00238,2023-06-24,3,775.28,Clothing,263.7,0.02,South,Manager_7,504,2023-06-19,2023-06-25,8478,1284,1687
T00128,S013,P0052,C00135,2023-08-10,2,440.67,Toys,247.57,0.11,East,Manager_13,1135,2023-08-07,2023-08-13,5571,5178,2737
T00129,S010,P0076,C00151,2023-08-21,4,1000.08,Clothing,280.92,0.11,East,Manager_10,4642,2023-08-21,2023-08-27,7394,3338,825
T00130,S007,P0007,C00236,2023-06-11,4,1277.94,Home,336.3,0.05,South,Manager_7,504,2023-06-05,2023-06-11,6555,5556,3592
T00131,S014,P0029,C00224,2023-05-14,2,155.49,Toys,109.5,0.29,North,Manager_14,2193,2023-05-08,2023-05-14,2073,6184,2902
T00132,S005,P0011,C00203,2023-08-12,1,138.34,Toys,197.63,0.3,East,Manager_5,3624,2023-08-07,2023-08-13,5571,5178,2737
T00133,S003,P0033,C00256,2023-06-02,4,1536.18,Toys,441.43,0.13,East,Manager_3,2991,2023-05-29,2023-06-04,6874,6581,4314
T00134,S011,P0006,C00086,2023-02-02,4,1256.36,Clothing,337.73,0.07,East,Manager_11,4864,2023-01-30,2023-02-05,2260,1184,2910
T00135,S011,P0079,C00150,2023-02-24,1,137.61,Toys,191.13,0.28,East,Manager_11,4864,2023-02-20,2023-02-26,9713,2887,3052
T00136,S018,P0032,C00235,2023-01-07,4,1191.5,Toys,350.44,0.15,North,Manager_18,4175,2023-01-02,2023-01-08,7837,2449,1732
T00137,S015,P0051,C00022,2023-09-01,4,945.52,Toys,271.7,0.13,South,Manager_15,2182,2023-08-28,2023-09-03,2859,4036,3871
T00138,S012,P0075,C00285,2023-11-09,1,195.0,Books,229.41,0.15,South,Manager_12,4965,2023-11-06,2023-11-12,4398,6529,4450
T00139,S009,P0058,C00269,2023-05-06,1,235.28,Clothing,283.47,0.17,West,Manager_9,1491,2023-05-01,2023-05-07,8008,3829,2881
T00140,S010,P0087,C00258,2023-01-12,3,188.66,Electronics,83.85,0.25,East,Manager_10,4642,2023-01-09,2023-01-15,1297,5903,1344
T00141,S012,P0026,C00029,2023-01-16,2,129.93,Home,78.27,0.17,South,Manager_12,4965,2023-01-16,2023-01-22,7548,5780,3450
T00142,S017,P0098,C00213,2023-07-27,2,385.04,Clothing,204.81,0.06,South,Manager_17,1330,2023-07-24,2023-07-30,1691,5019,1431
T00143,S006,P0046,C00283,2023-02-12,1,301.18,Electronics,327.37,0.08,West,Manager_6,3551,2023-02-06,2023-02-12,2466,7195,4457
T00144,S007,P0098,C00050,2023-05-15,1,192.52,Clothing,204.81,0.06,South,Manager_7,504,2023-05-15,2023-05-21,2094,7124,3695
T00145,S014,P0029,C00095,2023-08-16,4,310.98,Toys,109.5,0.29,North,Manager_14,2193,2023-08-14,2023-08-20,9644,3397,2475
T00146,S013,P0004,C00088,2023-04-21,3,143.01,Books,56.75,0.16,East,Manager_13,1135,2023-04-17,2023-04-23,5427,6269,4631
T00147,S008,P0081,C00044,2023-11-03,3,1137.98,Books,403.54,0.06,South,Manager_8,1376,2023-10-30,2023-11-05,6002,1886,840
T00148,S010,P0099,C00278,2023-06-09,1,258.43,Clothing,263.7,0.02,East,Manager_10,4642,2023-06-05,2023-06-11,3014,4789,2943
T00149,S009,P0013,C00171,2023-11-27,4,1414.22,Books,425.97,0.17,West,Manager_9,1491,2023-11-27,2023-12-03,2184,1746,2225
T00150,S018,P0039,C00189,2023-09-21,4,762.16,Electronics,214.09,0.11,North,Manager_18,4175,2023-09-18,2023-09-24,5552,2764,1725
T00151,S002,P0015,C00184,2023-08-13,2,236.18,Toys,125.63,0.06,West,Manager_2,4354,2023-08-07,2023-08-13,1919,5050,2839
T00152,S005,P0029,C00003,2023-08-05,2,155.49,Toys,109.5,0.29,East,Manager_5,3624,2023-07-31,2023-08-06,2268,6474,1284
T00153,S005,P0029,C00191,2023-02-14,4,310.98,Toys,109.5,0.29,East,Manager_5,3624,2023-02-13,2023-02-19,6593,4672,2381
T00154,S006,P0075,C00118,2023-08-02,2,390.0,Books,229.41,0.15,West,Manager_6,3551,2023-07-31,2023-08-06,8680,3118,4886
T00155,S019,P0032,C00019,2023-02-28,1,297.87,Toys,350.44,0.15,South,Manager_19,1869,2023-02-27,2023-03-05,7799,7405,930
T00156,S008,P0002,C00023,2023-05-12,4,1330.74,Books,426.52,0.22,South,Manager_8,1376,2023-05-08,2023-05-14,7543,6901,1469
T00157,S016,P0047,C00030,2023-04-14,2,16.81,Clothing,10.25,0.18,East,Manager_16,619,2023-04-10,2023-04-16,5769,6247,2861
T00158,S013,P0078,C00295,2023-07-14,3,111.64,Toys,49.62,0.25,East,Manager_13,1135,2023-07-10,2023-07-16,1371,7998,1115
T00159,S001,P0084,C00108,2023-06-06,4,755.95,Books,205.42,0.08,South,Manager_1,2215,2023-06-05,2023-06-11,6555,5556,3592
T00160,S020,P0022,C00281,2023-04-08,4,1328.8,Books,448.92,0.26,South,Manager_20,1240,2023-04-03,2023-04-09,1140,2789,4126
T00161,S017,P0075,C00128,2023-08-14,3,585.0,Books,229.41,0.15,South,Manager_17,1330,2023-08-14,2023-08-20,9579,4121,2373
T00162,S007,P0027,C00229,2023-07-24,1,272.48,Home,306.16,0.11,South,Manager_7,504,2023-07-24,2023-07-30,1691,5019,1431
T00163,S013,P0067,C00111,2023-03-20,3,379.94,Clothing,140.72,0.1,East,Manager_13,1135,2023-03-20,2023-03-26,3172,5966,779
T00164,S004,P0081,C00136,2023-05-04,4,1517.31,Books,403.54,0.06,East,Manager_4,3160,2023-05-01,2023-05-07,5535,3776,1619
T00165,S004,P0056,C00186,2023-08-06,1,85.99,Electronics,92.46,0.07,East,Manager_4,3160,2023-07-31,2023-08-06,2268,6474,1284
T00166,S006,P0092,C00144,2023-01-04,2,205.18,Electronics,117.92,0.13,West,Manager_6,3551,2023-01-02,2023-01-08,7582,5045,2302
T00167,S019,P0093,C00072,2023-03-31,2,659.57,Home,358.46,0.08,South,Manager_19,1869,2023-03-27,2023-04-02,5670,5987,2559
T00168,S012,P0021,C00129,2023-04-14,2,158.91,Clothing,108.84,0.27,South,Manager_12,4965,2023-04-10,2023-04-16,1016,6182,4848
T00169,S007,P0047,C00261,2023-04-29,4,33.62,Clothing,10.25,0.18,South,Manager_7,504,2023-04-24,2023-04-30,9711,6956,589
T00170,S010,P0080,C00003,2023-05-13,3,378.26,Toys,128.66,0.02,East,Manager_10,4642,2023-05-08,2023-05-14,8697,7437,694
T00171,S019,P0059,C00104,2023-11-08,1,160.07,Toys,207.88,0.23,South,Manager_19,1869,2023-11-06,2023-11-12,4398,6529,4450
T00172,S007,P0084,C00224,2023-04-06,2,377.97,Books,205.42,0.08,South,Manager_7,504,2023-04-03,2023-04-09,1140,2789,4126
T00173,S003,P0006,C00010,2023-11-27,1,314.09,Clothing,337.73,0.07,East,Manager_3,2991,2023-11-27,2023-12-03,2499,3099,2658
T00174,S013,P0019,C00231,2023-05-23,4,190.45,Electronics,64.34,0.26,East,Manager_13,1135,2023-05-22,2023-05-28,6060,3708,3675
T00175,S013,P0057,C00219,2023-10-15,2,199.22,Toys,117.19,0.15,East,Manager_13,1135,2023-10-09,2023-10-15,8604,1128,4496
T00176,S018,P0069,C00066,2023-01-28,4,701.88,Toys,211.41,0.17,North,Manager_18,4175,2023-01-23,2023-01-29,6904,5624,2537
T00177,S020,P0003,C00112,2023-10-05,3,649.25,Home,230.23,0.06,South,Manager_20,1240,2023-10-02,2023-10-08,2907,2161,629
T00178,S008,P0001,C00013,2023-08-21,4,1466.66,Toys,458.33,0.2,South,Manager_8,1376,2023-08-21,2023-08-27,7781,4748,777
T00179,S009,P0058,C00086,2023-01-17,4,941.12,Clothing,283.47,0.17,West,Manager_9,1491,2023-01-16,2023-01-22,3949,1941,2407
T00180,S007,P0038,C00234,2023-02-28,3,333.56,Books,117.04,0.05,South,Manager_7,504,2023-02-27,2023-03-05,7799,7405,930
T00181,S001,P0015,C00090,2023-03-31,1,118.09,Toys,125.63,0.06,South,Manager_1,2215,2023-03-27,2023-04-02,5670,5987,2559
T00182,S003,P0034,C00054,2023-07-18,3,663.45,Electronics,315.93,0.3,East,Manager_3,2991,2023-07-17,2023-07-23,7911,7010,2753
T00183,S013,P0061,C00012,2023-12-28,3,282.28,Clothing,134.42,0.3,East,Manager_13,1135,2023-12-25,2023-12-31,1298,1923,4732
T00184,S017,P0035,C00209,2023-01-26,4,588.47,Home,154.86,0.05,South,Manager_17,1330,2023-01-23,2023-01-29,4792,6567,3441
T00185,S001,P0064,C00014,2023-01-25,1,262.08,Clothing,359.01,0.27,South,Manager_1,2215,2023-01-23,2023-01-29,4792,6567,3441
T00186,S006,P0025,C00121,2023-10-28,2,561.28,Electronics,350.8,0.2,West,Manager_6,3551,2023-10-23,2023-10-29,3645,1018,1624
T00187,S006,P0024,C00020,2023-12-05,3,652.1,Electronics,286.01,0.24,West,Manager_6,3551,2023-12-04,2023-12-10,9462,5865,4456
